Date,Quarter,Scenario,Gross Revenue,Net Margins,Net Revenue Retention,CAC Payback
Sat Dec 30 2028 19:00:00 GMT-0500 (Eastern Standard Time),2028-Q4,Base,4085733,0.1909,1.1025,12.6
Sat Dec 30 2028 19:00:00 GMT-0500 (Eastern Standard Time),2028-Q4,Optimistic,8533893,0.2486,1.2714,9.2
Sat Dec 30 2028 19:00:00 GMT-0500 (Eastern Standard Time),2028-Q4,Pessimistic,2008646,0.1113,0.9073,17.4
Fri Sep 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q3,Base,3919545,0.189,1.1048,12.2
Fri Sep 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q3,Optimistic,7901021,0.266,1.2764,8.3
Fri Sep 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q3,Pessimistic,2002039,0.1107,0.906,17.2
Thu Jun 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q2,Base,3782249,0.2162,1.1082,12.7
Thu Jun 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q2,Optimistic,7288093,0.2505,1.2814,8.8
Thu Jun 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q2,Pessimistic,1994659,0.1185,0.8836,18.3
Thu Mar 30 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q1,Base,3635030,0.198,1.0884,12
Thu Mar 30 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q1,Optimistic,6756993,0.2363,1.3388,9.1
Thu Mar 30 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q1,Pessimistic,1996456,0.0813,0.9054,17.2
Thu Dec 30 2027 19:00:00 GMT-0500 (Eastern Standard Time),2027-Q4,Base,3503644,0.1976,1.0895,11.8
Thu Dec 30 2027 19:00:00 GMT-0500 (Eastern Standard Time),2027-Q4,Optimistic,6239144,0.2583,1.3254,9.1
Thu Dec 30 2027 19:00:00 GMT-0500 (Eastern Standard Time),2027-Q4,Pessimistic,1994660,0.0918,0.9057,18.1
Wed Sep 29 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q3,Base,3379938,0.2191,1.1199,12.5
Wed Sep 29 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q3,Optimistic,5794691,0.2338,1.2878,9.9
Wed Sep 29 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q3,Pessimistic,1985922,0.0941,0.9018,19.4
Tue Jun 29 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q2,Base,3258085,0.185,1.0815,11.9
