Quarter,Scenario,Scenario_Label,Year,Quarter_Num,Gross_Revenue,Net_Margins,NRR,CAC_Payback
2024-Q1,1,Pessimistic,2024,1,180000,0.12,0.75,24
2024-Q2,1,Pessimistic,2024,2,195000,0.14,0.77,23
2024-Q3,1,Pessimistic,2024,3,210000,0.15,0.78,22
2024-Q4,1,Pessimistic,2024,4,225000,0.16,0.8,21
2025-Q1,1,Pessimistic,2025,1,240000,0.17,0.81,20
2025-Q2,1,Pessimistic,2025,2,255000,0.18,0.82,19
2025-Q3,1,Pessimistic,2025,3,270000,0.19,0.83,18
2025-Q4,1,Pessimistic,2025,4,285000,0.2,0.84,17
2026-Q1,1,Pessimistic,2026,1,300000,0.21,0.85,16
2026-Q2,1,Pessimistic,2026,2,315000,0.22,0.86,15
2024-Q1,2,Base Case,2024,1,200000,0.18,0.85,20
2024-Q2,2,Base Case,2024,2,225000,0.2,0.87,19
2024-Q3,2,Base Case,2024,3,250000,0.22,0.88,18
2024-Q4,2,Base Case,2024,4,275000,0.24,0.9,17
2025-Q1,2,Base Case,2025,1,300000,0.26,0.91,16
2025-Q2,2,Base Case,2025,2,325000,0.28,0.92,15
2025-Q3,2,Base Case,2025,3,350000,0.3,0.93,14
2025-Q4,2,Base Case,2025,4,375000,0.32,0.94,13
2026-Q1,2,Base Case,2026,1,400000,0.34,0.95,12
2026-Q2,2,Base Case,2026,2,425000,0.36,0.96,11
2024-Q1,3,Optimistic,2024,1,250000,0.25,0.95,16
2024-Q2,3,Optimistic,2024,2,285000,0.28,0.96,15
2024-Q3,3,Optimistic,2024,3,320000,0.31,0.97,14
2024-Q4,3,Optimistic,2024,4,355000,0.34,0.98,13
2025-Q1,3,Optimistic,2025,1,390000,0.37,0.99,12
2025-Q2,3,Optimistic,2025,2,425000,0.4,1,11
2025-Q3,3,Optimistic,2025,3,460000,0.43,1.02,10
2025-Q4,3,Optimistic,2025,4,495000,0.46,1.03,9
2026-Q1,3,Optimistic,2026,1,530000,0.49,1.05,8
2026-Q2,3,Optimistic,2026,2,565000,0.52,1.06,7
