Pain Points,Revenue impact,Margin impact,Cash impact,Customer impact,Strategic impact,Total weighted score,Action Priority
"Low capture of aftermarket demand","5","3","1","5","2","3.4","Medium"
"Fragmented data and weak commercial focus on service","2","2","1","5","3","2.4","Low"
"Poor spare-parts availability and long lead times","3","3","5","3","2","3.2","Medium"
"Misaligned or weak customer value proposition","1","1","3","4","1","1.75","Low"
"Organizational design that sidelines service","4","5","2","4","4","4.05","High"
"Fragmented data and weak commercial focus on service","1","5","2","1","3","2.75","Medium"
"Underproductive field workforce and service operations","5","5","4","1","1","3.85","High"
"Talent shortages and capability gaps in service","3","2","2","4","2","2.55","Medium"
"Pricing and discounting that erode margin","5","2","2","2","1","2.65","Medium"
"Pricing and discounting that erode margin","5","2","2","5","3","3.3","Medium"
"Talent shortages and capability gaps in service","1","1","2","1","3","1.35","Low"
"Pricing and discounting that erode margin","5","2","4","4","2","3.35","Medium"
"Underproductive field workforce and service operations","5","3","1","5","3","3.5","Medium"
"Organizational design that sidelines service","4","3","1","2","4","2.9","Medium"
"Organizational design that sidelines service","3","5","4","2","5","3.9","High"
"Inefficient supply chain, inventory, and obsolescence management","1","5","3","2","4","3.15","Medium"
"Pricing and discounting that erode margin","5","2","1","1","4","2.65","Medium"
"Underproductive field workforce and service operations","3","4","3","2","4","3.3","Medium"
"Fragmented data and weak commercial focus on service","4","1","1","5","2","2.45","Low"
"Low capture of aftermarket demand","4","3","5","2","4","3.5","Medium"
"Poor spare-parts availability and long lead times","2","5","5","4","1","3.7","High"
"Slow and complex delivery‑to‑cash processes","3","4","3","4","5","3.7","High"
"Inefficient supply chain, inventory, and obsolescence management","1","4","1","1","3","2.25","Low"
"Fragmented data and weak commercial focus on service","1","5","2","5","4","3.45","Medium"
"Underproductive field workforce and service operations","5","3","2","3","3","3.35","Medium"
"Underproductive field workforce and service operations","3","5","4","2","1","3.5","Medium"
"Fragmented data and weak commercial focus on service","3","3","2","4","2","2.9","Medium"
"Organizational design that sidelines service","4","4","5","5","3","4.2","High"
"Talent shortages and capability gaps in service","3","3","2","4","5","3.2","Medium"
"Low capture of aftermarket demand","1","3","5","2","5","2.85","Medium"
"Underproductive field workforce and service operations","5","2","4","5","4","3.7","High"
"Poor spare-parts availability and long lead times","5","4","4","2","4","3.95","High"
"Fragmented data and weak commercial focus on service","3","5","2","1","3","3.25","Medium"
"Organizational design that sidelines service","1","2","3","2","2","1.9","Low"
"Poor spare-parts availability and long lead times","5","5","4","3","3","4.35","High"
"Misaligned or weak customer value proposition","4","4","4","2","2","3.5","Medium"
"Slow and complex delivery‑to‑cash processes","2","3","5","4","4","3.3","Medium"
"Organizational design that sidelines service","2","1","5","4","1","2.3","Low"
"Organizational design that sidelines service","3","5","5","5","4","4.4","High"
"Misaligned or weak customer value proposition","5","1","5","5","5","3.6","High"
"Fragmented data and weak commercial focus on service","5","2","4","3","5","3.5","Medium"
"Low capture of aftermarket demand","5","1","1","2","3","2.35","Low"
"Underproductive field workforce and service operations","4","2","4","3","1","2.85","Medium"
"Poor spare-parts availability and long lead times","3","5","4","5","4","4.25","High"
"Inefficient supply chain, inventory, and obsolescence management","1","1","1","5","4","1.9","Low"
"Pricing and discounting that erode margin","4","1","5","2","5","2.9","Medium"
"Organizational design that sidelines service","4","2","1","4","2","2.65","Medium"
"Inefficient supply chain, inventory, and obsolescence management","5","1","2","4","5","3","Medium"
"Fragmented data and weak commercial focus on service","2","4","4","5","3","3.55","High"
"Fragmented data and weak commercial focus on service","4","1","4","2","1","2.35","Low"
