Pain Points,Revenue impact (w=25%),Margin impact (w=35%),Cash impact (w=15%),Customer impact (w=15%),Strategic impact (w=10%),Total weighted score,Action Priority
Low capture of aftermarket demand,2,1,4,2,1,,
Poor spare-parts availability and long lead times,2,2,3,1,2,,
Pricing and discounting that erode margin,3,3,5,1,4,,
Fragmented data and weak commercial focus on service,2,3,2,3,5,,
"Inefficient supply chain, inventory, and obsolescence management",4,2,5,4,2,,
Underproductive field workforce and service operations,1,1,3,1,3,,
Slow and complex delivery‑to‑cash processes,2,1,4,2,3,,
Organizational design that sidelines service,5,3,2,3,1,,
Talent shortages and capability gaps in service,2,4,1,5,5,,
Misaligned or weak customer value proposition,5,3,4,3,2,,
